name,count,wall_sum_us,self_sum_us,wall_avg_us,self_avg_us
"main",1,15908.000,4898.000,15908.000,4898.000
"__flsbuf",61,4016.000,3939.000,65.836,64.574
"arm_cfft_f16",1,2257.000,2257.000,2257.000,2257.000
"arm_rfft_fast_f16",1,3343.000,1086.000,3343.000,1086.000
"__printf",1,7590.000,689.000,7590.000,689.000
"_ll_udiv10",17,629.000,629.000,37.000,37.000
"_printf_fp_dec_real",2,3674.000,536.000,1837.000,268.000
"_fp_digits",4,1716.000,389.000,429.000,97.250
"fputc",61,4321.000,305.000,70.836,5.000
"_printf_input_char",50,250.000,250.000,5.000,5.000
"__btod_mult_common",8,232.000,232.000,29.000,29.000
"_btod_etento",2,480.000,162.000,240.000,81.000
"_e2e",8,156.000,156.000,19.500,19.500
"_btod_emul",8,500.000,112.000,62.500,14.000
"arm_rfft_fast_init_f16",1,42.000,42.000,42.000,42.000
"__ARM_fpclassify",2,38.000,38.000,19.000,19.000
"_btod_d2e",2,36.000,36.000,18.000,18.000
"malloc",1,34.000,32.000,34.000,32.000
"_is_digit",6,30.000,30.000,5.000,5.000
"_writebuf",1,37.000,30.000,37.000,30.000
"_printf_char_common",1,7603.000,13.000,7603.000,13.000
"_printf_char_file",1,7617.000,11.000,7617.000,11.000
"__2printf",1,7625.000,8.000,7625.000,8.000
"_sys_write",1,7.000,7.000,7.000,7.000
"_sys_istty",1,6.000,6.000,6.000,6.000
"__rt_locale",2,4.000,4.000,2.000,2.000
"_printf_percent",2,3680.000,4.000,1840.000,2.000
"ferror",1,3.000,3.000,3.000,3.000
"__rt_heap_descriptor",1,2.000,2.000,2.000,2.000
"_printf_fp_dec",2,3676.000,2.000,1838.000,1.000
